run_id,timestamp,circuit_name,qubits,optimization_level,qiskit_version,native_depth,native_cx,native_rz,clifford_t_depth,clifford_t_cx,clifford_t_t,clifford_t_tdg,total_non_clifford,hash
12a3956d,2026-06-07T03:24:30.501953,bell,2,0,2.4.1,4,1,2,2,1,0,0,0,62e4f12d1df5712ea6ca856ee90e23afbd69d9e4150434445359411d84dc5874
11a27d20,2026-06-07T03:24:30.512454,bell,2,1,2.4.1,4,1,2,2,1,0,0,0,7d2acb92a1205fa79c4e7a4c3c0fa42d3c15325b29a4769e22d43bf4a7d160c2
d58266ad,2026-06-07T03:24:30.526793,bell,2,2,2.4.1,4,1,2,2,1,0,0,0,1571ba41bb300508c8c3c7e94f2de754b777b2414b7b9f22c7220b9aa57f3831
98a83e5c,2026-06-07T03:24:30.540723,bell,2,3,2.4.1,4,1,2,2,1,0,0,0,a1c4e5082782c62050370cdd07f606c7f6b989dc8a53ceb5fd08e228a50f7035
7e9bfe4d,2026-06-07T03:24:30.546210,ghz,2,0,2.4.1,4,1,2,2,1,0,0,0,c9e286c23feb00add2ec6bd445d04bf73b574c8e5f6b15b0587771d9567f1c27
1909d76c,2026-06-07T03:24:30.553589,ghz,2,1,2.4.1,4,1,2,2,1,0,0,0,35c72a25d50edc69a53c5c59f915465cab76c7b2eccbe33ae09bfb735dadbc8f
c9f3ac8b,2026-06-07T03:24:30.566146,ghz,2,2,2.4.1,4,1,2,2,1,0,0,0,052aa5b9a7f224bb9ee3cdf8b3b4bb050f42bfc9dcdc679fac2ddf70b8ac8f84
de2307ae,2026-06-07T03:24:30.578911,ghz,2,3,2.4.1,4,1,2,2,1,0,0,0,1daf4f015ee7c5ce6b9692ddbb7be180ca662f87148c32b0741280e19f4bf0b0
61592044,2026-06-07T03:24:30.584489,ghz,4,0,2.4.1,6,3,2,4,3,0,0,0,6d603bf26e4b62dbad65ceab10c1c8306840ba0192594ab60584360cb90b2653
c26f5366,2026-06-07T03:24:30.592475,ghz,4,1,2.4.1,6,3,2,4,3,0,0,0,844fa25773901901ad85de803ccd56306fb669ae2ee036f4ffa81822a1d07a0b
1f05c60a,2026-06-07T03:24:30.604942,ghz,4,2,2.4.1,6,3,2,4,3,0,0,0,1a37468ddde4d48ac012350d4ae12a4a951594bc5794bf5733482f6ca6530c35
524779de,2026-06-07T03:24:30.618606,ghz,4,3,2.4.1,6,3,2,4,3,0,0,0,ed401a84243e27feca1c78e1d3e2c02a78358dcd8790385602a49363e37193c2
74519255,2026-06-07T03:24:30.624213,ghz,6,0,2.4.1,8,5,2,6,5,0,0,0,f06847e4932039d319bd54d5f422175d716bfe3e5bb5e93f7000dd8e3a9b5dec
1bc9eddf,2026-06-07T03:24:30.631550,ghz,6,1,2.4.1,8,5,2,6,5,0,0,0,a89b8d6f9d8ca7b77f50cb1daa4704f132bf4b895e88cf1a8c17cbdda63011d2
18184af9,2026-06-07T03:24:30.645509,ghz,6,2,2.4.1,8,5,2,6,5,0,0,0,7f87343f882ee83f867203c0199712e916bde43fda40b5d733f4b130da567d38
291937b5,2026-06-07T03:24:30.658492,ghz,6,3,2.4.1,8,5,2,6,5,0,0,0,46c3ab080a490db32afd717fca782afdb4075a58e64ad50f93972eb264e6ff03
ad02cd29,2026-06-07T03:24:30.732687,qft,2,2,2.4.1,9,2,5,7,2,2,1,3,9ed8d692e1b7af685098eda127d0fb640e22655afe3df42afa402876d4e36118
97e4bd02,2026-06-07T03:24:30.748495,qft,2,3,2.4.1,9,2,5,7,2,2,1,3,47a36e357cd8b780bdc1bbbca31fca6797e2e6ddcd59a2bbd2ff1b0262c05d92
8fc679c5,2026-06-07T03:24:33.941722,draper,2,1,2.4.1,9,2,6,6,2,0,0,0,2a566ddf1e0ffd582a2df2ec3ab1599a1a8e1658159ec3ca4a33172d3c8a5b67
274e882a,2026-06-07T03:24:33.930867,draper,2,0,2.4.1,10,2,7,6,2,0,0,0,b1595678189ec19efc3d4e184285e734f933c38cc10b97f11a4034a248e2c47b
608ffeff,2026-06-07T03:24:30.664256,ghz,8,0,2.4.1,10,7,2,8,7,0,0,0,c402b77eb6d772251c968001f910c43fb904031170f7a7f023d4a1327cdc3569
dc109737,2026-06-07T03:24:30.671764,ghz,8,1,2.4.1,10,7,2,8,7,0,0,0,f17c81e6ab389a4e3a5ad334aad99593d26c267f21966db11cd7144aca7f88aa
2f5dd7e3,2026-06-07T03:24:30.684667,ghz,8,2,2.4.1,10,7,2,8,7,0,0,0,67420c7f995f1e458581aad14f8826a98e595b53a62c63e97c099c9bb6bb1a19
cace4ec6,2026-06-07T03:24:30.698088,ghz,8,3,2.4.1,10,7,2,8,7,0,0,0,68976f178c3748c9a17139d4bc3aafdf6a5a626951f13e6e0d7d19d289a076c1
4602b5ed,2026-06-07T03:24:33.959220,draper,2,2,2.4.1,11,1,6,6,2,0,0,0,e90470bcdb0b1e1fbaa5458935ee92700fec4427da2cfce1de6b6d8b4321f1d8
a06052c0,2026-06-07T03:24:33.976511,draper,2,3,2.4.1,11,1,6,6,2,0,0,0,7737ac441005746b83b49263e2e81a76672bfef821f2c755151197d67a6b14cc
8682eced,2026-06-07T03:24:30.717952,qft,2,1,2.4.1,12,5,5,10,5,2,1,3,899df0d91b5e12eda730fc98b6ee35d490e0d29940d09be05932435b36fd376a
2577e9ae,2026-06-07T03:24:30.707731,qft,2,0,2.4.1,14,5,7,10,5,2,1,3,91aa0c228a7f704008066715a0ec6b0dc6234e157125e5b9e436fc074e0e6ea2
37473fd4,2026-06-07T03:24:31.140877,qft,4,2,2.4.1,23,12,17,1922,12,1008,3,1011,c5485c413484648811a507393a92d5bee6febd41cf2f4c302ac6150b6639b4f6
29f3fde3,2026-06-07T03:24:31.293472,qft,4,3,2.4.1,23,12,17,1922,12,1008,3,1011,b4d5c0c679554c8e9e26e206755e802d37a016232aa2a05eeed98ddc4a3adab8
b1749917,2026-06-07T03:24:33.999170,draper,4,1,2.4.1,27,10,19,24,10,5,4,9,164730d4b5c132c1233755730ec199f915808ba601e8c960db4e029b552fd686
a8bca13f,2026-06-07T03:24:34.017756,draper,4,2,2.4.1,28,8,18,24,10,6,3,9,3d09cce80b5adf1be94272fa9e0ed04a5724664093252b021e0abdfd3c0ac92a
050e14c5,2026-06-07T03:24:34.036489,draper,4,3,2.4.1,28,8,18,24,10,6,3,9,072f52657b0a9d75c82e561cc5044d39137a25a0ffaf1d536b2f2c434e3c3984
bd99a34c,2026-06-07T03:24:31.005030,qft,4,1,2.4.1,28,18,20,2223,18,1137,3,1140,7fe21d7af4caf5e506460ecde03936c53582b517167b8ae868b84c1fe3bc9590
df433f30,2026-06-07T03:24:33.985786,draper,4,0,2.4.1,30,10,23,24,10,5,4,9,bcfc446c4fe341f2eea81eb6828a20a54cc3240ec508b8f53ca4623de605fb50
9cccae72,2026-06-07T03:24:35.035492,ripple,2,2,2.4.1,30,17,18,26,17,6,6,12,8f9e510bcb8e26f20c97f3846018773d06c0635301f542dbcb82b462efb451e0
91171998,2026-06-07T03:24:35.051537,ripple,2,3,2.4.1,30,17,18,26,17,6,6,12,fc9bef42d5891d609fbeeb563fe5fe2e55be85ac46f8b2433cb4a34e5f748733
b270e7a8,2026-06-07T03:24:30.875389,qft,4,0,2.4.1,30,18,26,2229,18,1137,3,1140,b4e621b40987849bc761724cacebdf99db4bc1e135b87c5b3f65cb972cf46759
11280416,2026-06-07T03:24:35.019474,ripple,2,1,2.4.1,31,17,20,26,17,8,6,14,16dc8d70c74c852b1cc4fd7ba3009c7aed1a787df0a5508ce320025fb3c2ba6b
1503eb21,2026-06-07T03:24:35.009265,ripple,2,0,2.4.1,33,17,22,26,17,8,6,14,c7fff206609dffe659df09e0e88120f2e0bda8b3204000eb6b6582bf98392b42
94a8cff7,2026-06-07T03:24:32.049528,qft,6,2,2.4.1,37,30,37,3840,30,3013,5,3018,b8f5e6aa276c79d2caeefddf7a8e4ddafe1fdeef59ab9f3f65eb9b5b47b1a784
ea6011c6,2026-06-07T03:24:32.328326,qft,6,3,2.4.1,37,30,37,3840,30,3013,5,3018,cb3700a2019a43d1b88d492362bab1b7f9d27c514591552f0d6bb9c788727103
16fbd0f4,2026-06-07T03:24:31.790463,qft,6,1,2.4.1,44,39,47,4764,39,3769,5,3774,6b52b80977f511322aeb0f8dcfb38c77d2d74c95c75b33f118d55759c347d738
093a1ea5,2026-06-07T03:24:31.539140,qft,6,0,2.4.1,46,39,57,4778,39,3769,5,3774,6bc8f98144dc04e8e8e6e88839db8de5cbd0f86d07618f613c6d2032f4be0ef7
8049a4a2,2026-06-07T03:24:34.266196,draper,6,2,2.4.1,47,21,37,2605,24,1152,6,1158,1a9a100aa54668ef369757bf286ad8f59bc533f79b65ee1c96a67a26fb35912f
e80a40dd,2026-06-07T03:24:34.349166,draper,6,3,2.4.1,47,21,37,2605,24,1152,6,1158,30376bc3fea05bb6f21d406ad97ce5c5b239b62d249f467c8b233c192cf68b14
722cf294,2026-06-07T03:24:34.179268,draper,6,1,2.4.1,47,24,41,2928,24,1153,8,1161,f0de7818dc6343273ff7e35cc7c0fc79b2a1c1e2a6c4238363f864564ca295df
5271ce17,2026-06-07T03:24:34.106837,draper,6,0,2.4.1,50,24,48,2936,24,1153,8,1161,f039e95548566a37484c79491cfb75cc2b927992f49eebc2989fa79494eeab6e
f0aeec26,2026-06-07T03:24:33.520125,qft,8,2,2.4.1,51,56,65,5798,56,6031,7,6038,eaab1718da44fe67b269cacd3bc16fc453535db7e6ddab494e3892f2d80da2b5
0d77a3b6,2026-06-07T03:24:33.920768,qft,8,3,2.4.1,51,56,65,5798,56,6031,7,6038,dee078f8f641831c326505319e71cad9f9921131a34946ef74561c25965dfba7
5b3a7fac,2026-06-07T03:24:35.094376,ripple,4,2,2.4.1,59,33,37,50,33,12,12,24,ee0ec034f7d6d6d9b7bfc740fe52143684f7a233f6e70b7cff7639b224a6fb32
53dd0031,2026-06-07T03:24:35.116255,ripple,4,3,2.4.1,59,33,37,50,33,12,12,24,48bdc25d9375ddc1463099b3cb3097e45307bb72605448489482f24fbcadf9ca
2391945a,2026-06-07T03:24:35.073942,ripple,4,1,2.4.1,60,33,40,50,33,16,12,28,ffd66d76e2118f2076bf70f8e771ced0e631c2f755b04c99bd421089ffa2a22a
8bacaf8a,2026-06-07T03:24:33.103688,qft,8,1,2.4.1,60,68,86,7402,68,7919,7,7926,694d2b5bc3ef0f382a8768aa37fc5907d990b923f74a06f6018ce2b439f8b94d
446e99e9,2026-06-07T03:24:32.699255,qft,8,0,2.4.1,62,68,100,7420,68,7919,7,7926,7cdc49aa34820bb1cb6e71aeb9a65b16a8926777e4825d2f5c7ef161f47c478f
3d2f32d5,2026-06-07T03:24:35.060647,ripple,4,0,2.4.1,64,33,44,50,33,16,12,28,c4ca56f110bd9b650436bd225e06d14cc513123786a38cbd982b50538d2268d8
b970298d,2026-06-07T03:24:34.831523,draper,8,2,2.4.1,66,40,60,4792,44,3024,9,3033,0aa00e5ce049e169a000bc8ee767a81031548391c748e9c5e33066efecca9fd1
1d82648c,2026-06-07T03:24:35.000754,draper,8,3,2.4.1,66,40,60,4792,44,3024,9,3033,460674b0d6ac080ca592d94bc1ecfb9fb221f685e10f8676714278f6a4e16fd1
7a70edf3,2026-06-07T03:24:34.660892,draper,8,1,2.4.1,67,44,72,6035,44,3408,12,3420,99eca8a47e59c3fa342c04b084f71bf5711078dc695c332b6cbcacebe89005ec
db3bd956,2026-06-07T03:24:34.506247,draper,8,0,2.4.1,70,44,82,6053,44,3408,12,3420,132b537af084ac23fd13485c8e145aa9aa79151273a63d75d829d7a24de7988d
1104485a,2026-06-07T03:24:35.159022,ripple,6,2,2.4.1,88,49,56,74,49,18,18,36,782fb7c0f4efe11ba19fa4e752093ad6603aef27884855878c7ab0e31197be67
d928e125,2026-06-07T03:24:35.182135,ripple,6,3,2.4.1,88,49,56,74,49,18,18,36,6b66e82d7662b5cb7d8903dc94b7592acab03d8d9b06f61739fbae4ff5ff8e8f
193505c8,2026-06-07T03:24:35.139429,ripple,6,1,2.4.1,89,49,60,74,49,24,18,42,5576a159f19028c4eb3907d731266a1280e39cac466120c170aa7b701254e16f
a29c6af9,2026-06-07T03:24:35.126350,ripple,6,0,2.4.1,95,49,66,74,49,24,18,42,2ca65f4322fb6a1d097944ec7c1ed882db511dc5843ba8bcb2fefec5ccc1cda0
9e6e7c44,2026-06-07T03:24:35.228603,ripple,8,2,2.4.1,117,65,75,98,65,24,24,48,76356dd345fa9e1102ffcc18ad520a940c4eac940f0af1b0d4278eda9f7db6f2
3fb18b7e,2026-06-07T03:24:35.249203,ripple,8,3,2.4.1,117,65,75,98,65,24,24,48,7223ae0cb1f6943a8871233b3d93b9473655aac43d8b72fcfc2b16e21fe157dc
17a8a942,2026-06-07T03:24:35.206205,ripple,8,1,2.4.1,118,65,80,98,65,32,24,56,7e51a24f0f4f78b51eee1d94b1f3301f0d08d0028080b17b6b43277ef4e60850
3ba7899b,2026-06-07T03:24:35.193049,ripple,8,0,2.4.1,126,65,88,98,65,32,24,56,304883b85175864ea3b023ca90ccbe03bbf7296f28affd2ce84ea136ae4223d0
